name,year_start,year_end,position,height,weight,birth_date,college
Alaa Abdelnaby,1991,1995,F-C,10-Jun,240,24-Jun-68,Duke University
Zaid Abdul-Aziz,1969,1978,C-F,9-Jun,235,7-Apr-46,Iowa State University
Kareem Abdul-Jabbar,1970,1989,C,2-Jul,225,16-Apr-47,"University of California, Los Angeles"
Mahmoud Abdul-Rauf,1991,2001,G,1-Jun,162,9-Mar-69,Louisiana State University
Tariq Abdul-Wahad,1998,2003,F,6-Jun,223,3-Nov-74,San Jose State University
Shareef Abdur-Rahim,1997,2008,F,9-Jun,225,11-Dec-76,University of California
Tom Abernethy,1977,1981,F,7-Jun,220,6-May-54,Indiana University
Forest Able,1957,1957,G,3-Jun,180,27-Jul-32,Western Kentucky University
John Abramovic,1947,1948,F,3-Jun,195,9-Feb-19,Salem International University
"{""name""=>""Heather Kesto"", ""year_start""=>""5"", ""year_end""=>""55"", ""position""=>""F""}"
